,HA3,HA6,HA7,HF7,HF8_01,HF8_02,HF8_03,HF8_04,HF8_05,HF8_06,HF8_07,HF8_08,HF8_09,HF8_10,HF8_11,HF8_12,HF8_13,HF8_14,HF12,HF13,HF14,HF15,HF16,HF16L,HF18
25125,M 200-500 TYS.,PRACOWNIKÓW,EMERYTÓW,TRUDNO POWIEDZIEĆ,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,75.0,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,MNIEJ NIŻ 10 PROC.,MNIEJ NIŻ ROK,,NIE ZMIENIŁA SIĘ
25138,M 20-100 TYS.,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,TAK,TAK,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,25.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,20.0,POGORSZYŁA SIĘ
25146,M 500 TYS. +,PRACUJĄCYCH NA WŁASNY RACHUNEK,PRACOWNIKÓW,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,TAK,NIE,NIE,NIE,W ZŁOTYCH,10.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,2.0,NIE ZMIENIŁA SIĘ
25147,M 500 TYS. +,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,TAK,TAK,NIE,NIE,TAK,W ZŁOTYCH,10.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MNIEJ NIŻ 10 PROC.,CO NAJMNIEJ ROK,25.0,POPRAWIŁA SIĘ
25150,M 500 TYS. +,PRACOWNIKÓW,EMERYTÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,TAK,TAK,TAK,NIE,TAK,TAK,TAK,TAK,TAK,TAK,NIE,NIE,NIE,TAK,W ZŁOTYCH,30.0,,MIĘDZY 30 I 40 PROC.,CO NAJMNIEJ ROK,6.0,POGORSZYŁA SIĘ
25151,M 500 TYS. +,PRACUJĄCYCH NA WŁASNY RACHUNEK,EMERYTÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,,,,TAK,TAK,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,60.0,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,20.0,POGORSZYŁA SIĘ
25152,M 500 TYS. +,PRACOWNIKÓW,PRACOWNIKÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,20.0,,MIĘDZY 40 I 50 PROC.,CO NAJMNIEJ ROK,17.0,POGORSZYŁA SIĘ
25170,M 500 TYS. +,KILKA RÓWNIE WAŻNYCH ŹRÓDEŁ UTRZYMANIA GOSPODARSTWA,EMERYTÓW,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,TAK,TAK,TAK,TAK,TAK,TAK,TAK,NIE,NIE,NIE,WE FRANKACH SZWAJCARSKICH,0.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,15.0,NIE ZMIENIŁA SIĘ
25179,M 500 TYS. +,PRACOWNIKÓW,ROLNIKÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,WE FRANKACH SZWAJCARSKICH,0.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,25.0,NIE ZMIENIŁA SIĘ
25183,M 500 TYS. +,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,10.0,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,30.0,NIE ZMIENIŁA SIĘ
25184,M 500 TYS. +,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,TAK,W ZŁOTYCH,25.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,25.0,NIE ZMIENIŁA SIĘ
25188,M 500 TYS. +,PRACOWNIKÓW,ROLNIKÓW,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,TAK,TAK,TAK,WE FRANKACH SZWAJCARSKICH,25.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 40 I 50 PROC.,CO NAJMNIEJ ROK,24.0,POPRAWIŁA SIĘ
25190,M 500 TYS. +,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,TAK,TAK,NIE,TAK,NIE,W ZŁOTYCH,20.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,26.0,NIE ZMIENIŁA SIĘ
25191,M 500 TYS. +,PRACOWNIKÓW,ROLNIKÓW,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,NIE,NIE,TAK,NIE,NIE,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,20.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 30 I 40 PROC.,CO NAJMNIEJ ROK,13.0,POPRAWIŁA SIĘ
25200,M 500 TYS. +,PRACOWNIKÓW,EMERYTÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,10.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,28.0,POGORSZYŁA SIĘ
25212,M 500 TYS. +,PRACOWNIKÓW,EMERYTÓW,TRUDNO POWIEDZIEĆ,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,W ZŁOTYCH,,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MNIEJ NIŻ 10 PROC.,CO NAJMNIEJ ROK,15.0,NIE ZMIENIŁA SIĘ
25218,M 500 TYS. +,PRACOWNIKÓW,RENCISTÓW,TRUDNO POWIEDZIEĆ,NIE,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,10.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,25.0,POPRAWIŁA SIĘ
25222,M 500 TYS. +,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW,TAK,NIE,TAK,NIE,NIE,TAK,NIE,TAK,TAK,NIE,TAK,NIE,NIE,TAK,W ZŁOTYCH,50.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,15.0,POGORSZYŁA SIĘ
25225,M 500 TYS. +,PRACUJĄCYCH NA WŁASNY RACHUNEK,PRACUJĄCYCH NA WŁASNY RACHUNEK,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW,NIE,NIE,NIE,TAK,TAK,TAK,NIE,TAK,TAK,TAK,TAK,NIE,NIE,NIE,WE FRANKACH SZWAJCARSKICH,20.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,17.0,NIE ZMIENIŁA SIĘ
25226,M 500 TYS. +,PRACUJĄCYCH NA WŁASNY RACHUNEK,EMERYTÓW,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW,NIE,NIE,TAK,NIE,NIE,TAK,NIE,TAK,TAK,TAK,TAK,NIE,NIE,NIE,W ZŁOTYCH,50.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,21.0,NIE ZMIENIŁA SIĘ
25232,M 500 TYS. +,PRACOWNIKÓW,EMERYTÓW,TRUDNO POWIEDZIEĆ,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,WE FRANKACH SZWAJCARSKICH,10.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,25.0,
25241,M 500 TYS. +,PRACOWNIKÓW,ROLNIKÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,NIE,NIE,NIE,NIE,TAK,NIE,NIE,TAK,TAK,NIE,TAK,NIE,NIE,TAK,W ZŁOTYCH,50.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,14.0,NIE ZMIENIŁA SIĘ
25246,M 500 TYS. +,PRACOWNIKÓW,EMERYTÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,50.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,20.0,POGORSZYŁA SIĘ
25252,WIEŚ,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,W ZŁOTYCH,10.0,POWYŻEJ MIESIĘCZNYCH - DO 3-MIESIĘCZNYCH DOCHODÓW,MIĘDZY 40 I 50 PROC.,CO NAJMNIEJ ROK,25.0,POGORSZYŁA SIĘ
25264,M PONIŻEJ 20 TYS.,PRACOWNIKÓW,EMERYTÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,TAK,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,,WE FRANKACH SZWAJCARSKICH,0.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MNIEJ NIŻ 10 PROC.,CO NAJMNIEJ ROK,23.0,NIE ZMIENIŁA SIĘ
25266,M PONIŻEJ 20 TYS.,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,TAK,NIE,W ZŁOTYCH,0.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,3.0,POPRAWIŁA SIĘ
25282,M 20-100 TYS.,PRACOWNIKÓW,EMERYTÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,30.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,13.0,NIE ZMIENIŁA SIĘ
25289,WIEŚ,PRACOWNIKÓW,ROLNIKÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,TAK,TAK,TAK,NIE,TAK,TAK,NIE,TAK,TAK,TAK,TAK,NIE,NIE,NIE,W ZŁOTYCH,65.0,POWYŻEJ 3-MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,10.0,NIE ZMIENIŁA SIĘ
25314,M 100-200 TYS.,PRACOWNIKÓW,ROLNIKÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,TAK,TAK,TAK,TAK,NIE,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,30.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 40 I 50 PROC.,CO NAJMNIEJ ROK,7.0,NIE ZMIENIŁA SIĘ
25331,M 20-100 TYS.,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,,,,,,,,,,,,,,,,W ZŁOTYCH,20.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,POWYŻEJ 50 PROC.,CO NAJMNIEJ ROK,20.0,POGORSZYŁA SIĘ
25336,WIEŚ,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,,,,,,,,,,,,,,,,W ZŁOTYCH,75.0,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW GOSPODARSTWA,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,4.0,POGORSZYŁA SIĘ
25411,M PONIŻEJ 20 TYS.,PRACOWNIKÓW,EMERYTÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,60.0,,MIĘDZY 30 I 40 PROC.,CO NAJMNIEJ ROK,2.0,NIE ZMIENIŁA SIĘ
25420,WIEŚ,PRACOWNIKÓW,EMERYTÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,40.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,25.0,NIE ZMIENIŁA SIĘ
25421,WIEŚ,PRACOWNIKÓW,RENCISTÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,TAK,NIE,NIE,NIE,NIE,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,70.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,10.0,POPRAWIŁA SIĘ
25429,M 20-100 TYS.,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,WE FRANKACH SZWAJCARSKICH,30.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,21.0,POGORSZYŁA SIĘ
25472,M 100-200 TYS.,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,TRUDNO POWIEDZIEĆ,TAK,TAK,NIE,TAK,NIE,NIE,NIE,TAK,NIE,TAK,NIE,NIE,NIE,NIE,W ZŁOTYCH,5.0,,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,34.0,POGORSZYŁA SIĘ
25475,M 100-200 TYS.,EMERYTÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,TRUDNO POWIEDZIEĆ,TAK,TAK,NIE,NIE,NIE,TAK,NIE,NIE,TAK,NIE,TAK,NIE,NIE,NIE,W ZŁOTYCH,,,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,10.0,NIE ZMIENIŁA SIĘ
25476,M 20-100 TYS.,PRACOWNIKÓW,EMERYTÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,16.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,25.0,POPRAWIŁA SIĘ
25485,WIEŚ,PRACUJĄCYCH NA WŁASNY RACHUNEK,EMERYTÓW,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,TAK,TAK,NIE,NIE,NIE,W ZŁOTYCH,60.0,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW GOSPODARSTWA,MIĘDZY 30 I 40 PROC.,CO NAJMNIEJ ROK,4.0,POPRAWIŁA SIĘ
25503,M 20-100 TYS.,PRACOWNIKÓW,EMERYTÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,0.0,,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,13.0,NIE ZMIENIŁA SIĘ
25543,M 200-500 TYS.,PRACOWNIKÓW,EMERYTÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,50.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,,12.0,NIE ZMIENIŁA SIĘ
25555,M 20-100 TYS.,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA,TAK,TAK,TAK,TAK,TAK,TAK,NIE,TAK,TAK,TAK,TAK,TAK,TAK,NIE,W ZŁOTYCH,40.0,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW GOSPODARSTWA,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,8.0,POPRAWIŁA SIĘ
25562,M 20-100 TYS.,PRACOWNIKÓW,PRACOWNIKÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,40.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 30 I 40 PROC.,CO NAJMNIEJ ROK,15.0,NIE ZMIENIŁA SIĘ
25580,M 20-100 TYS.,EMERYTÓW,ROLNIKÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,10.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 30 I 40 PROC.,CO NAJMNIEJ ROK,3.0,POGORSZYŁA SIĘ
25590,WIEŚ,PRACOWNIKÓW,ROLNIKÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,W EURO,20.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,,CO NAJMNIEJ ROK,36.0,POPRAWIŁA SIĘ
25591,WIEŚ,PRACOWNIKÓW,ROLNIKÓW,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,0.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,15.0,NIE ZMIENIŁA SIĘ
25592,WIEŚ,PRACOWNIKÓW,RENCISTÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,0.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,25.0,POPRAWIŁA SIĘ
25594,WIEŚ,PRACOWNIKÓW,PRACUJĄCYCH NA WŁASNY RACHUNEK,TRUDNO POWIEDZIEĆ,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,0.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MNIEJ NIŻ 10 PROC.,CO NAJMNIEJ ROK,26.0,POPRAWIŁA SIĘ
25596,M PONIŻEJ 20 TYS.,EMERYTÓW,PRACOWNIKÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,40.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,7.0,POGORSZYŁA SIĘ
25613,M 20-100 TYS.,PRACOWNIKÓW,RENCISTÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,10.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 30 I 40 PROC.,CO NAJMNIEJ ROK,15.0,NIE ZMIENIŁA SIĘ
25623,M 20-100 TYS.,PRACOWNIKÓW,PRACOWNIKÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,20.0,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW GOSPODARSTWA,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,23.0,NIE ZMIENIŁA SIĘ
25624,M 20-100 TYS.,PRACOWNIKÓW,ROLNIKÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,60.0,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW GOSPODARSTWA,MNIEJ NIŻ 10 PROC.,CO NAJMNIEJ ROK,2.0,POGORSZYŁA SIĘ
25627,M PONIŻEJ 20 TYS.,PRACUJĄCYCH NA WŁASNY RACHUNEK,RENCISTÓW,TRUDNO POWIEDZIEĆ,NIE,NIE,TAK,NIE,NIE,NIE,NIE,TAK,NIE,TAK,TAK,NIE,NIE,NIE,WE FRANKACH SZWAJCARSKICH,20.0,POWYŻEJ MIESIĘCZNYCH - DO 3-MIESIĘCZNYCH DOCHODÓW,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,17.0,POPRAWIŁA SIĘ
25651,WIEŚ,PRACOWNIKÓW,EMERYTÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,38.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 40 I 50 PROC.,CO NAJMNIEJ ROK,28.0,NIE ZMIENIŁA SIĘ
25653,WIEŚ,KILKA RÓWNIE WAŻNYCH ŹRÓDEŁ UTRZYMANIA GOSPODARSTWA,RENCISTÓW,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,NIE,NIE,NIE,TAK,NIE,NIE,NIE,TAK,NIE,TAK,TAK,NIE,NIE,NIE,W ZŁOTYCH,25.0,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW GOSPODARSTWA,MNIEJ NIŻ 10 PROC.,CO NAJMNIEJ ROK,13.0,POPRAWIŁA SIĘ
25662,WIEŚ,PRACOWNIKÓW,EMERYTÓW,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,W ZŁOTYCH,0.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MNIEJ NIŻ 10 PROC.,CO NAJMNIEJ ROK,25.0,NIE ZMIENIŁA SIĘ
25667,WIEŚ,KILKA RÓWNIE WAŻNYCH ŹRÓDEŁ UTRZYMANIA GOSPODARSTWA,RENCISTÓW,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,TAK,TAK,TAK,NIE,NIE,NIE,NIE,TAK,TAK,TAK,TAK,TAK,NIE,NIE,WE FRANKACH SZWAJCARSKICH,20.0,,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,20.0,NIE ZMIENIŁA SIĘ
25681,M 200-500 TYS.,PRACOWNIKÓW,RENCISTÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,5.0,,MIĘDZY 40 I 50 PROC.,CO NAJMNIEJ ROK,13.0,POGORSZYŁA SIĘ
25693,M 200-500 TYS.,PRACUJĄCYCH NA WŁASNY RACHUNEK,EMERYTÓW,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,TAK,TAK,NIE,NIE,TAK,TAK,NIE,TAK,TAK,TAK,TAK,TAK,TAK,TAK,WE FRANKACH SZWAJCARSKICH,50.0,,MIĘDZY 30 I 40 PROC.,CO NAJMNIEJ ROK,23.0,NIE ZMIENIŁA SIĘ
